Player Name,Team,Shots,Goals,xG,% rate,G - xG
François Régis Mughe,Marseille,3,0,0.09,0.0,-0.09
Guéla Doué,Rennes,3,0,0.1,0.0,-0.1
Kamory Doumbia,Brest,3,0,0.15,0.0,-0.15
Adam Ounas,Lille,3,1,0.23,33.33,0.77
Arouna Sangante,LeHavre,3,0,0.14,0.0,-0.14
Logan Costa,Toulouse,3,0,0.15,0.0,-0.15
Abdukodir Khusanov,Lens,3,0,0.11,0.0,-0.11
Danilo Pereira,PSG,3,0,0.45,0.0,-0.45
Dante,Nice,3,0,0.15,0.0,-0.15
Kévin N'Doram,Metz,3,0,0.1,0.0,-0.1
Darline Yongwa,Lorient,3,1,0.15,33.33,0.85
Koffi Kouao,Metz,3,0,0.12,0.0,-0.12
Kevin Van Den Kerkhof,Metz,3,0,0.23,0.0,-0.23
Kelvin Yeboah,Montpellier,3,0,0.28,0.0,-0.28
Amine Salama,Reims,3,0,0.43,0.0,-0.43
Badredine Bouanani,Nice,2,0,0.06,0.0,-0.06
Paul Akouokou,Lyon,2,0,0.07,0.0,-0.07
Habib Keita,Clermont,2,0,0.04,0.0,-0.04
Nolan Mbemba,LeHavre,2,1,0.04,50.0,0.96
Nicolás Tagliafico,Lyon,2,1,0.45,50.0,0.55
Florian Sotoca,Brest,2,1,0.16,50.0,0.84
Formose Mendy,Lorient,2,0,0.05,0.0,-0.05
Valentin Atangana Edoa,Reims,2,0,0.07,0.0,-0.07
Bradley Barcola,Lyon,2,0,0.07,0.0,-0.07
Fabian Rieder,Rennes,2,0,0.19,0.0,-0.19
Eray Cömert,Nantes,2,1,0.16,50.0,0.84
Bradley Locko,Brest,2,0,0.02,0.0,-0.02
Henrique,Lyon,2,0,0.07,0.0,-0.07
Elbasan Rashani,Clermont,2,0,0.26,0.0,-0.26
Diego Moreira,Lyon,2,0,0.06,0.0,-0.06
Denis Genreau,Toulouse,2,0,0.34,0.0,-0.34
Deiver Machado,Brest,2,1,0.28,50.0,0.72
Carlos Baleba,Lille,2,0,0.04,0.0,-0.04
Chrislain Matsima,Monaco,2,0,0.15,0.0,-0.15
Christopher Jullien,Montpellier,2,0,0.24,0.0,-0.24
Habib Maïga,Metz,2,0,0.12,0.0,-0.12
Takumi Minamino,Clermont,2,0,0.16,0.0,-0.16
Warmed Omari,Rennes,2,0,0.26,0.0,-0.26
Josh Wilson-Esbrand,Reims,2,1,0.03,50.0,0.97
Joel Asoro,Metz,2,1,0.36,50.0,0.64
Yoann Salmier,Montpellier,2,0,0.31,0.0,-0.31
Aliou Balde,Nice,2,0,0.1,0.0,-0.1
Jordan Ferri,Montpellier,2,0,0.08,0.0,-0.08
Mattéo Guendouzi,Marseille,2,0,0.55,0.0,-0.55
Joseph N'Duquidi,Metz,2,0,0.13,0.0,-0.13
Joseph Okumu,Reims,2,0,0.27,0.0,-0.27
Ahmadou Bamba Dieng,Lorient,2,0,0.08,0.0,-0.08
Mohamed Camara,Clermont,2,0,0.03,0.0,-0.03
Marvin Senaya,Strasbourg,2,0,0.04,0.0,-0.04
Junior Mwanga,Strasbourg,2,0,0.11,0.0,-0.11
Youssouf Fofana,Clermont,2,0,0.11,0.0,-0.11
Mamady Bangré,Toulouse,2,0,0.09,0.0,-0.09
Komnen Andrić,Clermont,2,0,0.05,0.0,-0.05
Mahamadou Diawara,Lyon,2,0,0.21,0.0,-0.21
Lucas Hernández,PSG,2,0,0.03,0.0,-0.03
Joaquín Correa,Marseille,2,0,0.15,0.0,-0.15
Johan Gastien,Clermont,2,0,0.04,0.0,-0.04
Jean-Charles Castelletto,Nantes,2,1,0.08,50.0,0.92
Aron Dønnum,Toulouse,2,0,0.05,0.0,-0.05
Ismaily,Lille,2,0,0.07,0.0,-0.07
Ismaël Traoré,Metz,2,0,0.04,0.0,-0.04
Issa Soumaré,Montpellier,2,0,0.17,0.0,-0.17
Ignacio Miramón,Lille,2,0,0.05,0.0,-0.05
Andy Pelmard,Clermont,2,0,0.34,0.0,-0.34
Montassar Talbi,Lorient,2,0,0.17,0.0,-0.17
Christopher Operi,LeHavre,2,0,0.04,0.0,-0.04
